관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,주건축물수,세대수,가구수,주차_대수
11680-232,,지상,서울특별시 강남구 선릉로130길 19,0.0,2,304,0,0
11680-179,,지상,서울특별시 강남구 남부순환로363길 30,298.3433,5,384,0,418
11350-257,,지상,서울특별시 노원구 섬밭로 196,0.0,17,1880,0,0
11350-582,,지상,서울특별시 노원구 초안산로5길 22,269.7,8,344,0,625
11470-656,,지상,서울특별시 양천구 오목로 300,631.71,7,576,0,1897
11320-399,,지상,서울특별시 도봉구 덕릉로 371,288.76,6,366,0,371
11320-100189210,,지상,서울특별시 도봉구 덕릉로63가길 60,66.95,2,0,0,13
11110-582,,지상,서울특별시 종로구 평창8길 3,87.34,2,0,0,32
11110-650,,지상,관철동 11-11,67.79,6,0,0,0
11680-65,,지상,서울특별시 강남구 영동대로142길 25,423.36,2,108,0,0
11680-382,,지상,서울특별시 강남구 도곡로78길 22,261.51,15,961,0,1259
11680-241,,지상,서울특별시 강남구 학동로 432,0.0,3,339,0,0
11290-1342,,지상,서울특별시 성북구 종암로 93,0.0,4,0,0,0
11170-9,,지상,서울특별시 용산구 효창원로104나길 36,0.0,2,8,0,0
11170-100206298,,지상,서계동 222-1,48.92,2,0,0,0
11170-100220659,,지상,서계동 223-55,0.0,0,0,0,0
11170-106,,지상,서울특별시 용산구 효창원로 258,103.19,7,0,0,29
11110-100212792,,지상,평동 233-0,241.46,9,589,0,760
11680-100279783,,지상,일원동 741-0,249.99,13,850,0,1296
11110-100189826,,지상,서울특별시 종로구 필운대로1길 34,87.11,13,0,0,185
11470-417,,지상,서울특별시 양천구 목동중앙북로24길 65,298.68,2,122,0,167
11470-682,,지상,서울특별시 양천구 목동동로 258,349.03,2,225,0,239
11740-100202006,,지상,서울특별시 강동구 명일로 364,44.35,3,0,0,40
11650-100225678,,지상,서울특별시 서초구 양재대로2길 11,250.15,3,358,0,419
11410-504,,지상,서울특별시 서대문구 독립문로8길 54,229.07,17,1008,0,789
11410-100241503,,지상,서울특별시 서대문구 거북골로 84,250.52,14,1047,0,1372
11470-471,,지상,서울특별시 양천구 곰달래로 46,0.0,2,0,0,0
11200-750,,지상,서울특별시 성동구 행당로 120,0.0,0,0,0,0
11260-100228723,,지상,신내동 644-2,96.23,3,0,0,44
11170-3,,지상,서울특별시 용산구 소월로20길 43,113.23,2,0,0,31
11170-169,,지상,서울특별시 용산구 한강대로57길 33,95.09,4,0,0,79
11410-100230583,,지상,서울특별시 서대문구 증가로 150,226.21,14,1061,0,1624
11440-710,,지상,서울특별시 마포구 삼개로 38,0.0,16,1222,0,0
11440-557,,지상,연남동 369-1,82.13,9,0,1,0
11710-102,,지상,서울특별시 송파구 한가람로 448,0.0,9,782,0,0
11140-100229743,,지상,서울특별시 중구 퇴계로 67,1014.24,2,0,0,204
11650-303,,지상,서울특별시 서초구 서초중앙로 242,0.0,3,168,0,0
11470-100220978,,지상,서울특별시 양천구 중앙로36길 15,252.37,17,1081,0,1337
11290-1270,,지상,정릉동 861-1,97.84,25,0,0,1243
11530-1017,,지상,서울특별시 구로구 남부순환로97길 50,397.13,3,188,0,0
