관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,주건축물수,세대수,가구수,주차_대수
11560-100205036,,지상,여의도동 23-3,699.7462,2,0,0,316
11500-100333892,,지상,서울특별시 강서구 화곡로66길 66,299.95,2,0,0,61
11680-410,,지상,서울특별시 강남구 언주로 211,297.79,2,0,0,735
11470-100242668,,지상,서울특별시 양천구 용왕정길 19,0.139,2,0,0,0
11110-447,,지상,서울특별시 종로구 우정국로 42,0.0,0,0,1,0
11290-100248492,,지상,성북동 133-50,0.0,2,0,0,0
11740-100191802,,지상,서울특별시 강동구 고덕로 427,169.19,12,636,0,746
11290-589,,지상,서울특별시 성북구 서경로 28,268.68,7,515,0,517
11590-946,,지상,서울특별시 동작구 상도로55길 25,197.42,2,91,0,137
11440-660,,지상,도화동 195-6,0.0,2,0,2,0
11590-39,,지상,서울특별시 동작구 노량진로 120,237.16,3,0,0,44
11380-534,,지상,수색동 154-17,0.0,2,0,0,0
11380-764,,지상,서울특별시 은평구 은평로 185,183.92,2,0,0,22
11320-439,,지상,서울특별시 도봉구 노해로70길 54,0.0,8,780,0,42
11320-360,,지상,서울특별시 도봉구 방학로 187,236.7,4,336,0,241
11260-38,,지상,서울특별시 중랑구 신내로7나길 3,44.24,2,0,1,0
11260-345,,지상,서울특별시 중랑구 신내로 127,188.38,15,1650,0,712
11215-482,,지상,서울특별시 광진구 용마산로22길 26,133.44,8,0,0,100
11305-100205261,,지상,번동 410-94,62.57,3,0,0,4
11380-43,,지상,서울특별시 은평구 갈현로29길 11,206.16,3,200,0,209
11215-65,,지상,서울특별시 광진구 아차산로 530,366.9,3,349,0,656
11380-100278914,,지상,서울특별시 은평구 통일로 1080,499.8,4,260,0,482
11590-540,,지상,서울특별시 동작구 양녕로23길 9,350.83,3,197,0,254
11380-100193821,,지상,서울특별시 은평구 진관1로 21-9,186.21,12,660,0,764
11650-210,,지상,서울특별시 서초구 서초대로18길 6,206.29,2,87,0,112
11590-100203616,,지상,흑석동 336-0,222.64,18,863,0,1155
11680-100235949,,지상,역삼동 675-3,394.72,2,0,0,253
11740-100276362,,지상,서울특별시 강동구 아리수로93가길 110,202.05,13,1239,0,1160
11740-164,,지상,서울특별시 강동구 상암로12길 24,340.23,2,174,0,0
11740-335,,지상,서울특별시 강동구 상암로 251,181.28,15,1320,0,674
11170-100217662,,지상,서울특별시 용산구 원효로 57-8,5.8942,1,0,0,0
11350-454,,지상,서울특별시 노원구 동일로230가길 71,248.49,2,175,0,217
11350-530,,지상,서울특별시 노원구 동일로238길 33,0.0,1,100,0,0
11290-767,,지상,서울특별시 성북구 북악산로 813,309.32,8,823,0,708
11440-1350,,지상,서울특별시 마포구 숭문길 106,217.36,7,678,0,233
11740-75,,지상,서울특별시 강동구 천호대로168가길 47-17,0.0,3,0,3,0
11110-100194137,,지상,사직동 1-28,0.0,10,0,0,0
11320-394,,지상,서울특별시 도봉구 마들로 551,292.27,16,1352,0,0
11170-118,,지상,서울특별시 용산구 이촌로65가길 91,71.8,5,0,0,43
11440-1587,,지상,서울특별시 마포구 숭문길 99,36.81,5,0,0,64
11710-100456946,,지상,장지동 901-0,194.05,23,1810,0,2080
11590-863,,지상,서울특별시 동작구 신대방1가길 38,519.77,6,545,0,1573
11470-100183867,,지상,서울특별시 양천구 오목로10길 11,249.55,2,60,0,60
11560-1627,,지상,서울특별시 영등포구 도림로139가길 5,0.0,2,0,1,0
11560-1636,,지상,서울특별시 영등포구 경인로 715,0.0,2,0,0,0
11530-721,,지상,서울특별시 구로구 개봉로2길 133-15,288.42,12,684,0,827
11350-511,,지상,공릉동 23-2,0.0,2,0,0,0
11560-100247643,,지상,당산동4가 99-0,218.66,3,198,0,302
11740-100275362,,지상,서울특별시 강동구 고덕로 399,499.72,9,656,0,956
11290-1152,,지상,서울특별시 성북구 솔샘로24길 15,243.22,11,739,0,819
11260-36,,지상,서울특별시 중랑구 봉우재로58길 39,70.77,10,0,0,92
11710-344,,지상,서울특별시 송파구 동남로 281,64.21,3,0,0,53
11710-187,,지상,서울특별시 송파구 한가람로 468,391.21,2,236,0,253
11110-464,,지상,서울특별시 종로구 자하문로 255,82.99,2,0,0,96
11545-341,,지상,가산동 345-35,220.08,4,0,0,109
11110-729,,지상,서울특별시 종로구 창의문로 131,0.0,2,0,1,0
11110-150,,지상,연건동 28-22,115.3,9,0,0,0
11200-149,,지상,사근동 214-1,0.0,0,0,2,0
11320-122,,지상,서울특별시 도봉구 우이천로20길 7,322.15,6,300,0,390
11710-110,,지상,서울특별시 송파구 올림픽로 424,29.97,6,0,0,697
11710-239,,지상,서울특별시 송파구 마천로61다길 24,67.63,2,0,0,0
11710-456,,지상,서울특별시 송파구 오금로32길 10,0.0,6,378,0,0
11350-606,,지상,서울특별시 노원구 덕릉로112길 24,221.51,5,234,0,285
11290-816,,지상,서울특별시 성북구 정릉로 388,196.26,10,540,0,685
11290-772,,지상,서울특별시 성북구 아리랑로4길 45,127.48,2,0,1,20
11680-376,,지상,서울특별시 강남구 개포로109길 69,250.64,5,212,0,502
11290-432,,지상,서울특별시 성북구 종암로21길 127,222.71,7,513,0,576
11170-164,,지상,서울특별시 용산구 소월로 272,226.39,3,0,0,90
11200-100236718,,지상,성수동2가 277-15,224.0,4,0,0,165
11380-763,,지상,서울특별시 은평구 불광로 170,244.28,3,155,0,151
11530-100242753,,지상,서울특별시 구로구 금오로 882,191.69,5,298,0,167
11380-655,,지상,서울특별시 은평구 증산로 221,389.75,2,85,0,0
11380-600,,지상,서울특별시 은평구 증산로3길 8,65.02,3,0,0,23
11380-579,,지상,서울특별시 은평구 증산로 425,0.0,2,0,1,0
11380-230,,지상,증산동 189-5,0.0,0,0,0,0
11380-22,,지상,서울특별시 은평구 불광로 90,402.11,3,198,198,314
11680-103,,지상,서울특별시 강남구 개포로109길 5,0.0,27,4199,0,0
11350-40,,지상,서울특별시 노원구 동일로231길 24,76.68,2,0,0,32
11740-661,,지상,서울특별시 강동구 올림픽로 837,95.45,6,0,0,48
11200-127,,지상,서울특별시 성동구 고산자로 349,0.0,2,0,0,0
11200-301,,지상,성수동2가 322-32,67.65,3,0,0,4
11290-1523,,지상,서울특별시 성북구 동소문로23길 48,157.5,2,0,6,5
11530-622,,지상,서울특별시 구로구 디지털로27길 76,58.4,2,0,0,84
11290-1397,,지상,서울특별시 성북구 동소문로 290,0.0,3,0,1,0
11290-100227453,,지상,성북동 15-136,58.8,2,0,1,4
11110-100182070,,지상,서울특별시 종로구 통일로16길 8-3,247.39,19,810,0,1105
11470-330,,지상,서울특별시 양천구 중앙로53길 5,0.0,4,202,0,220
11740-100183682,,지상,서울특별시 강동구 고덕로97길 20,177.67,13,694,0,798
11740-439,,지상,서울특별시 강동구 올림픽로 738,0.0,2,0,2,14
11410-507,,지상,서울특별시 서대문구 백련사길 55,80.46,3,0,0,5
11260-329,,지상,서울특별시 중랑구 신내역로 25,8.56,5,0,0,398
11740-535,,지상,서울특별시 강동구 풍성로65길 34,0.0,3,196,0,81
11380-100309494,,지상,서울특별시 은평구 백련산로 67,239.41,10,678,0,859
11260-44,,지상,서울특별시 중랑구 망우로 411,297.81,2,0,0,47
11350-126,,지상,서울특별시 노원구 공릉로 420,81.75,2,0,0,37
11350-173,,지상,서울특별시 노원구 광운로2길 1,89.9,2,0,0,0
11650-308,,지상,서울특별시 서초구 서초중앙로29길 28,0.0,10,1260,0,0
11290-100190374,,지상,서울특별시 성북구 북악산로 742-12,304.25,4,212,0,274
11290-1740,,지상,안암동5가 104-0,0.0,8,0,8,0
11650-138,,지상,서울특별시 서초구 서초중앙로 14,699.0,4,332,0,757
11530-588,,지상,서울특별시 구로구 구일로8길 63,0.0,3,488,0,0
11650-193,,지상,서울특별시 서초구 사평대로14길 12,249.93,2,63,0,206
11560-48,,지상,서울특별시 영등포구 선유로47길 34,376.31,3,216,0,228
11380-100196693,,지상,서울특별시 은평구 은평터널로7길 6,81.15,12,0,0,90
11305-419,,지상,서울특별시 강북구 삼양로97길 1,63.9,4,0,2,27
