관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,지상층수,지하층수,승강기_수,주차_대수
11140-22856,,지상,서울특별시 중구 퇴계로83길 40-24,0.0,3,1,0,0
11140-7230,,지상,서울특별시 중구 동호로27길 38-3,0.0,2,1,0,0
11140-7204,,지상,서울특별시 중구 퇴계로50길 43-18,197.98,5,1,0,4
11140-5979,,지상,서울특별시 중구 퇴계로41가길 11-6,245.29,5,1,0,1
11140-19331,,지상,서울특별시 중구 다산로22길 42,195.58,4,1,0,5
11110-100219965,,지상,서울특별시 종로구 낙산5길 46,178.06,5,0,0,5
11680-11183,,지상,서울특별시 강남구 논현로175길 15,0.0,4,1,0,0
11140-20821,,지상,서울특별시 중구 동호로 209,0.0,4,1,0,0
11140-17256,,지상,서울특별시 중구 다산로31길 46,183.6933,4,1,0,3
11680-12710,,지상,서울특별시 강남구 압구정로80길 30,277.76,6,1,0,9
11140-17248,,지상,서울특별시 중구 다산로29길 52,96.41,2,1,0,2
11140-16417,,지상,서울특별시 중구 퇴계로86길 26,0.0,2,0,0,0
11710-8786,,지상,서울특별시 송파구 삼학사로16길 3-11,0.0,2,1,0,0
11710-4769,,지상,서울특별시 송파구 양재대로71길 28-31,0.0,3,1,0,2
11710-21161,,지상,서울특별시 송파구 가락로40길 9,186.5078,4,1,0,5
11710-100532882,,지상,서울특별시 송파구 송파대로37길 22-1,192.7,5,1,1,3
11140-11856,,지상,서울특별시 중구 을지로38길 14,20.4929,5,1,0,3
11140-16761,,지상,서울특별시 중구 다산로44길 107,159.42,4,1,0,0
11230-16108,,지상,서울특별시 동대문구 안암로26길 11,112.23,2,1,0,1
11140-16827,,지상,서울특별시 중구 퇴계로90길 43,0.0,4,1,0,0
11140-17238,,지상,서울특별시 중구 다산로29길 51,246.42,5,1,0,5
11140-22507,,지상,서울특별시 중구 다산로39길 11-9,0.0,3,1,0,0
11140-22505,,지상,서울특별시 중구 다산로35길 14,194.01,4,1,0,3
11140-22764,,지상,서울특별시 중구 퇴계로83길 40-11,0.0,2,0,0,0
11140-22771,11140-990,지상,서울특별시 중구 퇴계로83길 40,226.07,3,1,0,0
11140-22777,,지상,서울특별시 중구 퇴계로83길 34-10,316.92,4,1,0,2
11140-25149,,지상,서울특별시 중구 중림로4길 26,145.75,3,1,0,0
11140-25166,,지상,서울특별시 중구 중림로4길 12,240.94,5,1,0,3
11470-15195,,지상,서울특별시 양천구 신월로20길 6-1,160.59,3,1,0,0
11140-20853,,지상,서울특별시 중구 동호로15길 76,148.6,3,1,0,0
11140-16612,11140-930,지상,신당동 151-25,0.0,3,1,0,0
11140-100235422,,지상,서울특별시 중구 퇴계로20길 43,149.72,3,2,1,0
11140-100234982,,지상,서울특별시 중구 다산로24길 31,192.54,5,1,1,7
11140-100233642,,지상,서울특별시 중구 장충단로10길 38-8,185.35,4,0,0,0
11140-16622,,지상,서울특별시 중구 퇴계로88길 17-14,245.0,5,1,0,4
11140-17816,,지상,서울특별시 중구 다산로42나길 51,261.06,4,1,0,0
11680-100241496,,지상,서울특별시 강남구 도산대로49길 8,249.9217,7,1,1,5
11140-18802,,지상,서울특별시 중구 청구로14길 8,237.9,4,1,0,0
11140-18803,,지상,서울특별시 중구 청구로14길 6,133.47,4,1,0,0
11140-19523,,지상,서울특별시 중구 동호로12길 96,0.0,2,1,0,0
11140-19526,,지상,서울특별시 중구 동호로12길 88,182.5083,4,1,1,3
11230-36128,,지상,서울특별시 동대문구 약령시로 16,199.53,5,2,1,0
11230-34032,,지상,서울특별시 동대문구 약령중앙로 12,153.52,3,1,0,0
11140-19543,,지상,서울특별시 중구 다산로18길 22,196.27,4,1,0,4
11230-31903,,지상,서울특별시 동대문구 외대역동로 76-1,172.22,4,1,0,4
11230-23141,,지상,서울특별시 동대문구 회기로 172,0.0,5,1,0,0
11230-20886,,지상,서울특별시 동대문구 고산자로48길 23,67.58,1,0,0,0
11230-14323,,지상,서울특별시 동대문구 무학로20길 37,205.89,5,1,0,7
11140-20241,,지상,서울특별시 중구 청구로17길 92,0.0,3,1,0,0
11140-19555,,지상,서울특별시 중구 다산로16길 14,104.38,3,1,0,4
11140-19291,,지상,서울특별시 중구 청구로3나길 12,192.19,4,1,0,0
11140-16592,,지상,서울특별시 중구 다산로44길 80,0.0,2,1,0,0
11680-16859,,지상,서울특별시 강남구 언주로151길 10,211.15,5,1,0,6
11140-16610,,지상,서울특별시 중구 다산로44길 86-3,134.96,3,1,0,0
11740-21578,,지상,서울특별시 강동구 천호대로219다길 7-21,146.7,3,1,0,2
11740-4530,,지상,서울특별시 강동구 올림픽로88길 10,213.88,5,1,0,4
11140-15352,,지상,서울특별시 중구 다산로36나길 7,147.07,3,1,0,0
11140-16845,,지상,서울특별시 중구 퇴계로88가길 48,211.3,4,1,0,4
11680-17618,,지상,서울특별시 강남구 학동로97길 30,248.05,6,2,1,10
11140-16843,,지상,서울특별시 중구 퇴계로88가길 42,149.23,3,1,0,2
11680-3143,,지상,서울특별시 강남구 역삼로65길 31,220.75,5,1,0,4
11140-20603,,지상,서울특별시 중구 청구로 91-3,138.18,3,1,0,1
11140-9253,,지상,서울특별시 중구 장충단로7길 29,246.16,6,1,0,4
11140-18416,,지상,서울특별시 중구 다산로33길 2,110.64,2,0,0,0
11140-9411,,지상,서울특별시 중구 동호로 290,212.24,5,1,0,3
11545-100268689,,지상,서울특별시 금천구 독산로44길 88,189.62,4,0,0,2
11545-10072,,지상,서울특별시 금천구 시흥대로 418,33.25,1,1,0,0
11560-15560,,지상,서울특별시 영등포구 문래북로 35-1,0.0,1,0,0,0
